geneid,cid,aid,acname,acvalue
2263,9811611,1344797,IC50,0.00879
2263,447077,625131,Kd,0.031
2263,24180719,625131,Kd,3.1
2263,135565635,625131,Kd,0.21
2263,5330260,1340379,IC50,4.47
2263,5330262,1340379,IC50,1.52
2263,5330263,1340379,IC50,1.38
2263,5330278,1340379,IC50,1.74
2263,5330231,1340379,IC50,2.98
2263,5330329,1340379,IC50,1.078
2263,5330333,1340379,IC50,0.081
2263,5330790,435290,Kd,0.68
2263,23022716,73463,IC50,0.13
2263,23022691,73463,IC50,0.2
2263,23022671,73463,IC50,0.054
2263,5494425,73465,IC50,0.94
2263,44382310,73463,IC50,8.9
2263,23022619,73463,IC50,0.78
2263,44382047,73463,IC50,0.071
2263,44382048,73463,IC50,0.2
2263,23022836,73463,IC50,0.1
2263,23022732,73463,IC50,0.063
2263,44382259,73463,IC50,0.44
2263,44382615,73463,IC50,0.023
2263,23022708,73463,IC50,0.04
2263,23022656,73463,IC50,4.6
2263,9932979,73463,IC50,0.19
2263,44382531,73463,IC50,0.071
2263,44382790,73463,IC50,0.07
2263,9850161,73463,IC50,0.088
2263,44382806,73463,IC50,0.2
2263,10113795,73463,IC50,3.4
2263,44382411,73463,IC50,0.35
2263,44382744,73463,IC50,0.26
2263,5330804,241016,IC50,0.18
2263,44398371,241016,IC50,0.27
2263,5330790,241261,IC50,0.22
2263,5330387,241270,IC50,0.21
2263,5330389,241267,IC50,1.4
2263,5330391,241267,IC50,0.326
2263,5330387,241267,IC50,0.21
2263,5330392,241267,IC50,0.153
2263,5330388,241267,IC50,2.36
2263,11317348,241407,IC50,0.17
2263,9811611,1344804,IC50,0.00308
2263,46232443,460498,IC50,24
2263,46232556,460498,IC50,12
2263,135423438,507190,IC50,0.037
2263,5329102,507946,Kd,0.57
2263,216239,507946,Kd,2.7
2263,53357328,598776,IC50,0.36
2263,46864270,601675,IC50,0.0015
2263,56669626,622069,IC50,0.0014
2263,56669626,622078,IC50,0.002
2263,56669626,622137,IC50,0.0049
2263,3081361,625131,Kd,1.1
2263,135423438,625131,Kd,0.35
2263,126565,625131,Kd,0.66
2263,9829523,625131,Kd,2.4
2263,10138259,625131,Kd,0.79
2263,5494449,625131,Kd,0.57
2263,11213558,625131,Kd,0.073
2263,44551653,625131,Kd,3.6
2263,216239,625131,Kd,2.7
2263,16038120,625131,Kd,0.25
2263,16722836,625131,Kd,0.47
2263,11427553,625131,Kd,0.85
2263,5329102,625131,Kd,0.57
2263,11712649,625131,Kd,1.7
2263,135398510,625131,Kd,0.41
2263,11409972,625131,Kd,1.9
2263,44259,625131,Kd,0.1
2263,156422,636437,IC50,24
2263,53246941,638373,IC50,0.32
2263,11407794,645931,IC50,0.037
2263,46232555,460498,IC50,6.9
2263,24756910,461288,IC50,3.43
2263,46898022,492023,IC50,10
2263,126565,507946,Kd,0.66
2263,9829523,507946,Kd,2.4
2263,44137946,606073,IC50,0.039
2263,53357328,616954,IC50,0.36
2263,10461815,625131,Kd,5.2
2263,6450551,625131,Kd,0.11
2263,11234052,625131,Kd,0.11
2263,9933475,625131,Kd,0.035
2263,42642645,625131,Kd,0.8
2263,3062316,625131,Kd,1.4
2263,10113978,625131,Kd,0.21
2263,44259,629275,IC50,0.00336
2263,9910609,645931,IC50,0.035
2263,11409972,1433,Kd(FGFR2),1.9
2263,135398510,1433,Kd(FGFR2),0.41
2263,3062316,1433,Kd(FGFR2),1.4
2263,5330790,1433,Kd(FGFR2),0.68
2263,24202429,1433,Kd(FGFR2),2.4
2263,3081361,1433,Kd(FGFR2),1.1
2263,11712649,1433,Kd(FGFR2),1.7
2263,216239,1433,Kd(FGFR2),2.7
2263,5494449,1433,Kd(FGFR2),0.57
2263,451705,1433,Kd(FGFR2),0.1
2263,10113978,1433,Kd(FGFR2),0.21
2263,10138259,1433,Kd(FGFR2),0.79
2263,5329102,1433,Kd(FGFR2),0.57
2263,5329111,73311,IC50,3.71
2263,5330252,73305,IC50,0.07
2263,5330226,73305,IC50,6.6
2263,5330228,73305,IC50,5.29
2263,5328158,73306,IC50,0.04
2263,5330256,73305,IC50,0.051
2263,5330258,73305,IC50,8.62
2263,5330209,73305,IC50,44.2
2263,44294644,73306,IC50,0.051
2263,5330199,73305,IC50,3.295
2263,5327917,73306,IC50,0.061
2263,5327864,73306,IC50,1.32
2263,5311382,73306,IC50,0.044
2263,5327876,73306,IC50,1.97
2263,5327908,73306,IC50,0.048
2263,44294299,73306,IC50,0.126
2263,5327878,73306,IC50,0.348
2263,5328135,73306,IC50,0.048
2263,5328127,73306,IC50,0.06
2263,5329132,73306,IC50,1.65
2263,5327885,73306,IC50,0.51
2263,5328157,73306,IC50,0.125
2263,5328171,73306,IC50,0.139
2263,5327877,73306,IC50,1.26
2263,5327914,73306,IC50,0.051
2263,44259,73318,IC50,0.42
2263,44330049,73316,IC50,10
2263,44330124,73316,IC50,10.6
2263,44330126,73316,IC50,6.2
2263,5328125,73312,IC50,0.78
2263,44330151,73316,IC50,21
2263,5328149,73312,IC50,0.051
2263,15707182,73316,IC50,9.2
2263,10738332,73312,IC50,0.13
2263,12424767,73316,IC50,25
2263,5328135,73312,IC50,0.048
2263,44330159,73316,IC50,44
2263,5328127,73312,IC50,0.06
2263,44330203,73316,IC50,5.4
2263,10602350,73312,IC50,0.14
2263,44330102,73316,IC50,6.4
2263,5328117,73312,IC50,0.4
2263,10015651,73316,IC50,5.1
2263,5328115,73312,IC50,0.082
2263,247352,73316,IC50,4.7
2263,5328134,73312,IC50,0.033
2263,44330125,73316,IC50,15
2263,5328112,73312,IC50,0.13
2263,247358,73316,IC50,4.2
2263,44330158,73316,IC50,6.8
2263,5494425,73321,IC50,1.48
2263,10907042,73320,IC50,29.7
2263,5329032,85328,IC50,1.5
2263,5329034,85328,IC50,3
2263,5329028,85328,IC50,1.7
2263,5329013,85328,IC50,0.8
2263,5329033,85328,IC50,0.1
2263,5330135,235922,IC50,0.003
2263,5330279,240710,IC50,1.86
2263,44399701,240711,IC50,0.08
2263,5328112,242108,IC50,0.13
2263,5311382,242108,IC50,43
2263,5328127,242108,IC50,0.06
2263,44390984,242108,IC50,0.03
2263,11374515,248140,IC50,0.0047
2263,11465545,248140,IC50,0.0053
2263,11432911,248140,IC50,0.13
2263,11464544,248140,IC50,0.054
2263,10073832,248140,IC50,0.021
2263,11455031,248140,IC50,0.044
2263,11352215,248140,IC50,0.0066
2263,9982235,248140,IC50,0.0073
2263,11442803,248140,IC50,0.001
2263,10388612,248140,IC50,0.004
2263,11488852,248140,IC50,0.033
2263,11419379,248140,IC50,0.0076
2263,10436729,248140,IC50,0.0046
2263,10478569,248140,IC50,0.0065
2263,11328182,248140,IC50,0.046
2263,11155938,248140,IC50,0.0092
2263,5329004,248472,IC50,1.9
2263,5330136,248575,IC50,0.2
2263,5330126,248575,IC50,4.8
2263,5330159,248575,IC50,0.63
2263,5330128,248575,IC50,1.7
2263,5330125,248575,IC50,6.4
2263,5330129,248575,IC50,0.35
2263,5330168,248575,IC50,25
2263,5330127,248575,IC50,0.33
2263,5330169,248575,IC50,6.8
2263,5330158,248575,IC50,0.042
2263,5330167,248575,IC50,4.6
2263,1401,248575,IC50,13
2263,5330135,248575,IC50,0.17
2263,5330131,248575,IC50,12
2263,5330157,248575,IC50,0.056
2263,5330134,248575,IC50,0.34
2263,5330166,248575,IC50,6.8
2263,5330130,248575,IC50,0.2
2263,5330133,248575,IC50,0.56
2263,5330132,248575,IC50,4.5
2263,5330136,248789,IC50,0.002
2263,5330126,248789,IC50,0.015
2263,5330159,248789,IC50,0.004
2263,5330128,248789,IC50,0.012
2263,5330131,248789,IC50,0.13
2263,5330157,248789,IC50,0.006
2263,5330134,248789,IC50,0.0005
2263,5330169,248789,IC50,0.037
2263,5330158,248789,IC50,0.006
2263,5330167,248789,IC50,0.028
2263,1401,248789,IC50,0.015
2263,5330125,248789,IC50,0.15
2263,5330129,248789,IC50,0.0044
2263,5330168,248789,IC50,0.43
2263,5330127,248789,IC50,0.0019
2263,5329004,248789,IC50,0.085
2263,5330166,248789,IC50,0.088
2263,5330130,248789,IC50,0.0004
2263,5330133,248789,IC50,0.0027
2263,5330132,248789,IC50,0.014
2263,5330157,248925,IC50,0.0027
2263,5330134,248925,IC50,0.002
2263,5329004,248925,IC50,0.001
2263,5330166,248925,IC50,0.015
2263,5330130,248925,IC50,0.0027
2263,5330133,248925,IC50,0.0005
2263,5330132,248925,IC50,0.0026
2263,5330169,248925,IC50,0.02
2263,5330158,248925,IC50,0.0047
2263,5330167,248925,IC50,0.006
2263,1401,248925,IC50,0.007
2263,5330129,248925,IC50,0.003
2263,5330168,248925,IC50,0.033
2263,5330127,248925,IC50,0.001
2263,5330136,248925,IC50,0.002
2263,5330126,248925,IC50,0.0036
2263,5330159,248925,IC50,0.003
2263,5330128,248925,IC50,0.002
2263,6539985,254660,IC50,4.2
2263,6540005,254660,IC50,1.5
2263,44259,256654,Kd,0.16
2263,5329102,256654,Kd,0.53
2263,3081361,256654,Kd,5.5
2263,176870,256654,Kd,1.9
2263,11517688,258041,IC50,10
2263,9916282,259742,IC50,8
2263,11234052,262742,Activity,0.276
2263,11396738,263413,IC50,0.092
2263,44414322,268873,IC50,34.355
2263,256524,274646,Ki,23
2263,11485656,281044,IC50,12.5
2263,11562302,289737,Ki,0.493
2263,11620410,297604,IC50,4.37
2263,17748275,307032,IC50,5.36
2263,24757938,326902,IC50,0.055
2263,44259,350268,IC50,0.034
2263,11858109,364697,IC50,0.14
2263,5329102,383305,Kd,0.53
2263,135398495,412601,IC50,0.001
2263,3081361,435290,Kd,1.1
2263,216239,435290,Kd,2.7
2263,5329102,435290,Kd,0.57
2263,3062316,435290,Kd,1.4
2263,11712649,435290,Kd,1.7
2263,9829523,435290,Kd,2.4
2263,10138259,435290,Kd,0.79
2263,10113978,435290,Kd,0.21
2263,135398510,435290,Kd,0.41
2263,11409972,435290,Kd,1.9
2263,44259,435290,Kd,0.1
2263,5494449,435290,Kd,0.57
2263,24883287,441978,IC50,4.1
2263,24883334,441978,IC50,2
2263,68783839,678028,IC50,0.002
2263,9850161,710626,IC50,0.069
2263,57379018,710626,IC50,0.0825
2263,53348188,719880,IC50,0.0062
2263,71575642,731108,IC50,1.805
2263,136726174,735314,IC50,0.73
2263,5329098,735314,IC50,5
2263,57379345,758022,IC50,0.26
2263,118728412,1193336,IC50,0.02
2263,5328112,1193340,IC50,0.13
2263,51039095,1193340,IC50,0.0032
2263,136180313,1193340,IC50,9.13
2263,136961365,1193340,IC50,13.47
2263,136961363,1193340,IC50,9.58
2263,136961364,1193340,IC50,16.11
2263,136961366,1193340,IC50,6.28
2263,136180312,1193340,IC50,9.13
2263,136961367,1193340,IC50,7.62
2263,136961368,1193340,IC50,6.14
2263,118728412,1193340,IC50,0.063
2263,135486449,1193340,IC50,13.46
2263,136243300,1193340,IC50,15.73
2263,136243473,1193340,IC50,8.39
2263,136243344,1193340,IC50,17.71
2263,135476717,1195826,IC50,0.037
2263,44259,1247627,IC50,0.00177
2263,66554887,1258216,IC50,0.11
2263,66555405,1258216,IC50,0.021
2263,66555754,1258216,IC50,0.016
2263,66556942,1258216,IC50,0.034
2263,66555234,1258216,IC50,0.028
2263,66555755,1258216,IC50,0.02
2263,66556940,1258216,IC50,0.0086
2263,66556941,1258216,IC50,0.021
2263,66554542,1258216,IC50,0.0055
2263,66554715,1258216,IC50,0.017
2263,66554718,1258216,IC50,0.039
2263,66555064,1258216,IC50,0.004
2263,66555232,1258216,IC50,0.065
2263,66555582,1258216,IC50,0.056
2263,66555752,1258216,IC50,0.02
2263,66554717,1258216,IC50,0.0085
2263,66555060,1258216,IC50,0.019
2263,66555233,1258216,IC50,0.32
2263,66555406,1258216,IC50,0.015
2263,66557107,1258216,IC50,0.012
2263,68005697,1258216,IC50,0.0084
2263,68005713,1258216,IC50,0.004
2263,68170152,1258216,IC50,0.023
2263,68170229,1258216,IC50,0.086
2263,50939891,1258216,IC50,0.015
2263,50939485,1258216,IC50,0.064
2263,68160307,1258216,IC50,0.0085
2263,50940358,1258216,IC50,0.016
2263,50940253,1258216,IC50,0.025
2263,50939225,1258216,IC50,0.032
2263,68004743,1258216,IC50,0.017
2263,68004761,1258216,IC50,0.0055
2263,68004785,1258216,IC50,0.014
2263,68004789,1258216,IC50,0.015
2263,68004814,1258216,IC50,0.018
2263,68004859,1258216,IC50,0.026
2263,68004914,1258216,IC50,0.039
2263,68005346,1258216,IC50,0.01
2263,68005616,1258216,IC50,0.029
2263,68005621,1258216,IC50,0.0094
2263,68005646,1258216,IC50,0.038
2263,68005711,1258216,IC50,0.012
2263,68006530,1258216,IC50,0.042
2263,68170143,1258216,IC50,0.0062
2263,68004741,1258216,IC50,0.0034
2263,68004759,1258216,IC50,0.026
2263,68004770,1258216,IC50,0.35
2263,68004858,1258216,IC50,0.078
2263,68004954,1258216,IC50,0.0048
2263,68005283,1258216,IC50,0.0046
2263,68005486,1258216,IC50,0.026
2263,68005649,1258216,IC50,0.0043
2263,68005834,1258216,IC50,0.022
2263,68005891,1258216,IC50,0.04
