geneid,cid,aid,acname,acvalue
3480,53321197,581383,IC50,0.15
3480,53325637,581383,IC50,0.025
3480,53319892,581383,IC50,0.008
3480,11632540,581383,IC50,0.086
3480,122177111,1309846,IC50,0.014
3480,122177112,1309846,IC50,0.038
3480,122177111,1309849,IC50,0.055
3480,122177112,1309849,IC50,0.054
3480,11502053,581383,IC50,0.33
3480,53321198,581383,IC50,0.026
3480,53319267,581383,IC50,0.017
3480,11649146,581383,IC50,0.014
3480,25182616,392257,IC50,0.31
3480,25211575,392257,IC50,0.487
3480,45267796,419417,IC50,3.623
3480,45268679,419417,IC50,0.128
3480,45268681,419417,IC50,0.385
3480,45269546,419417,IC50,3.071
3480,45270370,419417,IC50,0.693
3480,44219728,419417,IC50,0.068
3480,45272930,419417,IC50,1.264
3480,45272932,419417,IC50,0.961
3480,45267795,419417,IC50,1.041
3480,45268678,419417,IC50,1.116
3480,45270373,419417,IC50,0.407
3480,45270372,419417,IC50,7.463
3480,45271189,419417,IC50,0.415
3480,45271191,419417,IC50,20.793
3480,45272931,419417,IC50,0.517
3480,71762924,760417,IC50,0.004
3480,71762926,760417,IC50,0.023
3480,71763139,760417,IC50,0.004
3480,71763142,760417,IC50,0.008
3480,71763377,760417,IC50,0.195
3480,71763605,760417,IC50,0.009
3480,71762923,760417,IC50,0.003
3480,71763607,760417,IC50,0.072
3480,71762925,760417,IC50,0.01
3480,71763141,760417,IC50,0.01
3480,71763143,760417,IC50,0.016
3480,71763375,760417,IC50,0.024
3480,71763376,760417,IC50,0.029
3480,71763378,760417,IC50,0.009
3480,71763606,760417,IC50,0.026
3480,71763140,760417,IC50,0.005
3480,11640390,760417,IC50,0.024
3480,71762923,760401,IC50,0.32
3480,71762924,760401,IC50,0.44
3480,11690086,1342325,IC50,0.5
3480,11509870,1342325,IC50,0.05
3480,11717710,1342325,IC50,0.05
3480,11689853,1342325,IC50,0.05
3480,24891243,1342325,IC50,0.05
3480,11502765,1342325,IC50,0.5
3480,11503139,1342325,IC50,0.05
3480,11503356,1342325,IC50,0.05
3480,11712881,1342325,IC50,0.05
3480,24891241,1342325,IC50,0.05
3480,11619839,1342325,IC50,0.05
3480,11620013,1342325,IC50,0.05
3480,11503962,1342325,IC50,0.05
3480,11501911,1342325,IC50,0.05
3480,11569274,1342325,IC50,0.05
3480,11569591,1342325,IC50,0.05
3480,11569769,1342325,IC50,0.05
3480,21135760,1342325,IC50,0.05
3480,11510269,1342325,IC50,0.05
3480,11510922,1342325,IC50,0.05
3480,24891244,1342325,IC50,0.05
3480,9867941,1342325,IC50,0.05
3480,9867941,1342325,IC50,0.05
3480,9867941,1342325,IC50,0.05
3480,11642011,1342325,IC50,0.05
3480,11642224,1342325,IC50,0.05
3480,24948938,1342325,IC50,0.05
3480,24949091,1342325,IC50,0.05
3480,24949400,1342325,IC50,0.5
3480,24949399,1342325,IC50,0.05
3480,11641060,1342325,IC50,0.05
3480,11641301,1342325,IC50,0.05
3480,11640322,1342325,IC50,0.05
3480,45111335,1342325,IC50,0.05
3480,11524129,1342325,IC50,0.05
3480,11612585,1342325,IC50,0.05
3480,11612843,1342325,IC50,0.05
3480,11663876,1342325,IC50,0.05
3480,11631463,1342325,IC50,0.05
3480,11540405,1342325,IC50,0.05
3480,11711370,1342325,IC50,0.05
3480,11496828,1342325,IC50,0.05
3480,59819606,1342325,IC50,0.5
3480,24949247,1342325,IC50,0.5
3480,24949248,1342325,IC50,0.5
3480,59819608,1342325,IC50,0.05
3480,59819610,1342325,IC50,0.05
3480,59819613,1342325,IC50,0.05
3480,59819614,1342325,IC50,0.05
3480,59819617,1342325,IC50,0.05
3480,57866442,1342325,IC50,0.5
3480,11668111,1342325,IC50,0.05
3480,11668648,1342325,IC50,0.05
3480,11698103,1342325,IC50,0.05
3480,59648382,1342325,IC50,0.5
3480,59648395,1342325,IC50,0.05
3480,59648415,1342325,IC50,0.05
3480,59648417,1342325,IC50,0.05
3480,59648418,1342325,IC50,0.05
3480,59757992,1342325,IC50,0.05
3480,59758007,1342325,IC50,0.05
3480,59758011,1342325,IC50,0.05
3480,59758016,1342325,IC50,0.05
3480,59758017,1342325,IC50,0.5
3480,59758028,1342325,IC50,0.05
3480,59758045,1342325,IC50,0.05
3480,59758048,1342325,IC50,0.05
3480,59758058,1342325,IC50,0.05
3480,59758067,1342325,IC50,0.5
3480,59758070,1342325,IC50,0.5
3480,59758080,1342325,IC50,0.05
3480,59758085,1342325,IC50,0.5
3480,59758102,1342325,IC50,0.05
3480,59758114,1342325,IC50,0.5
3480,59758119,1342325,IC50,0.5
3480,59758121,1342325,IC50,0.5
3480,59758126,1342325,IC50,0.05
3480,59758139,1342325,IC50,0.05
3480,59758152,1342325,IC50,0.5
3480,59758154,1342325,IC50,0.05
3480,59758164,1342325,IC50,0.5
3480,59758166,1342325,IC50,0.05
3480,59758167,1342325,IC50,0.05
3480,59758170,1342325,IC50,0.05
3480,59758178,1342325,IC50,0.05
3480,59757969,1342325,IC50,0.05
3480,59757978,1342325,IC50,0.5
3480,59757983,1342325,IC50,0.5
3480,59757989,1342325,IC50,0.05
3480,11669172,1342325,IC50,0.05
3480,11669946,1342325,IC50,0.5
3480,11667285,1342325,IC50,0.5
3480,59757980,1342325,IC50,0.05
3480,59757986,1342325,IC50,0.05
3480,59757987,1342325,IC50,0.05
3480,59758002,1342325,IC50,0.05
3480,59758006,1342325,IC50,0.05
3480,59758012,1342325,IC50,0.5
3480,59758013,1342325,IC50,0.5
3480,59758020,1342325,IC50,0.5
3480,59758024,1342325,IC50,0.05
3480,59758026,1342325,IC50,0.05
3480,59758032,1342325,IC50,0.5
3480,59758033,1342325,IC50,0.5
3480,59758042,1342325,IC50,0.05
3480,59758043,1342325,IC50,0.5
3480,59758044,1342325,IC50,0.05
3480,59758047,1342325,IC50,0.05
3480,59758066,1342325,IC50,0.05
3480,59758069,1342325,IC50,0.5
3480,59758072,1342325,IC50,0.05
3480,59758075,1342325,IC50,0.5
3480,59758078,1342325,IC50,0.05
3480,59758086,1342325,IC50,0.5
3480,59758090,1342325,IC50,0.05
3480,59758091,1342325,IC50,0.5
3480,59758094,1342325,IC50,0.5
3480,59758097,1342325,IC50,0.05
3480,59758101,1342325,IC50,0.5
3480,59758105,1342325,IC50,0.5
3480,59758110,1342325,IC50,0.05
3480,59758111,1342325,IC50,0.05
3480,59758113,1342325,IC50,0.5
3480,59758116,1342325,IC50,0.5
3480,59758124,1342325,IC50,0.05
3480,59758125,1342325,IC50,0.5
3480,59758128,1342325,IC50,0.05
3480,59758133,1342325,IC50,0.05
3480,59758135,1342325,IC50,0.05
3480,59758142,1342325,IC50,0.05
3480,59758145,1342325,IC50,0.05
3480,59758148,1342325,IC50,0.5
3480,59758151,1342325,IC50,0.5
