geneid,cid,aid,acname,acvalue
2321,447077,624853,Kd,0.023
2321,3008962,636125,IC50,45.9
2321,24180719,624853,Kd,1.9
2321,3008950,636125,IC50,16
2321,3025986,624853,Kd,9.9
2321,9869779,624853,Kd,0.13
2321,5330790,435429,Kd,2.1
2321,15625,625231,Ki,0.000697
2321,5329006,636125,IC50,14.1
2321,135565635,624853,Kd,1.2
2321,5329050,73628,IC50,0.45
2321,5329045,73628,IC50,0.3
2321,5329020,73628,IC50,0.2
2321,5329030,73628,IC50,1.5
2321,5329011,73628,IC50,0.4
2321,5329042,73628,IC50,0.5
2321,3081361,73628,IC50,0.9
2321,5329026,73628,IC50,0.1
2321,23133323,73628,IC50,1.6
2321,22478297,73628,IC50,0.75
2321,5329057,73628,IC50,0.5
2321,73349643,73628,IC50,1
2321,5329052,73628,IC50,0.5
2321,5329053,73628,IC50,0.15
2321,5329054,73628,IC50,0.2
2321,22478260,73628,IC50,0.65
2321,21701597,73628,IC50,0.6
2321,5329056,73628,IC50,0.5
2321,5329055,73628,IC50,0.7
2321,23133320,73628,IC50,2
2321,73357210,73628,IC50,0.02
2321,5329049,73628,IC50,0.7
2321,5329040,73628,IC50,3.9
2321,5329032,73628,IC50,0.7
2321,4913175,73628,IC50,0.3
2321,49860186,73628,IC50,0.025
2321,5329046,73628,IC50,0.5
2321,5329051,73628,IC50,0.8
2321,5329019,73628,IC50,1.1
2321,49860190,73628,IC50,0.55
2321,73352657,73628,IC50,0.2
2321,5329032,216627,IC50,0.7
2321,5329007,216627,IC50,0.8
2321,5329034,216627,IC50,8.1
2321,5329015,216627,IC50,1.5
2321,5329022,216627,IC50,0.5
2321,5329019,216627,IC50,1.1
2321,5687,216627,IC50,0.2
2321,1475052,216627,IC50,11
2321,5329017,216627,IC50,0.3
2321,5329012,216627,IC50,0.03
2321,5329006,216627,IC50,2
2321,6326407,216627,IC50,0.05
2321,5329028,216627,IC50,0.3
2321,5329025,216627,IC50,0.1
2321,5329031,216627,IC50,0.3
2321,5329010,216627,IC50,0.03
2321,5329005,216627,IC50,26
2321,5329016,216627,IC50,0.003
2321,5329027,216627,IC50,0.5
2321,5329020,216627,IC50,0.2
2321,5329030,216627,IC50,15
2321,5329011,216627,IC50,0.4
2321,5329026,216627,IC50,0.1
2321,5329018,216627,IC50,0.3
2321,5329014,216627,IC50,0.9
2321,5329013,216627,IC50,0.002
2321,5329024,216627,IC50,1.2
2321,5329023,216627,IC50,0.8
2321,1474850,216627,IC50,22
2321,5329033,216627,IC50,0.8
2321,5329021,216627,IC50,0.3
2321,151194,261931,IC50,0.14
2321,6398883,261931,IC50,0.17
2321,23644840,261931,IC50,0.16
2321,44409051,261931,IC50,0.34
2321,44409058,261931,IC50,0.22
2321,44409087,261931,IC50,0.74
2321,44409262,261931,IC50,0.61
2321,44409271,261931,IC50,1.25
2321,44409294,261931,IC50,0.41
2321,44409329,261931,IC50,0.18
2321,44409431,261931,IC50,0.36
2321,44409224,261931,IC50,1.16
2321,44409151,261931,IC50,0.95
2321,44409320,261931,IC50,0.69
2321,3081361,261931,IC50,0.1
2321,44409052,261931,IC50,0.3
2321,44409090,261931,IC50,0.57
2321,44409106,261931,IC50,0.22
2321,11581327,261931,IC50,0.14
2321,44409154,261931,IC50,0.77
2321,44409166,261931,IC50,1.14
2321,44409167,261931,IC50,2.53
2321,44409192,261931,IC50,0.76
2321,44409266,261931,IC50,0.54
2321,44409267,261931,IC50,0.44
2321,44409285,261931,IC50,0.26
2321,44409324,261931,IC50,0.34
2321,44409325,261931,IC50,0.49
2321,23644896,263456,IC50,0.14
2321,23644887,263456,IC50,0.71
2321,23644888,263456,IC50,0.74
2321,23644877,263456,IC50,0.73
2321,23644890,263456,IC50,0.5
2321,23644858,263456,IC50,0.22
2321,23644879,263456,IC50,0.32
2321,23644885,263456,IC50,0.67
2321,6398883,263456,IC50,0.17
2321,23644840,263456,IC50,0.16
2321,23644895,263456,IC50,0.12
2321,23644875,263456,IC50,0.48
2321,23644882,263456,IC50,0.84
2321,23644872,263456,IC50,0.77
2321,23644873,263456,IC50,0.22
2321,23644874,263456,IC50,0.27
2321,23644886,263456,IC50,0.26
2321,3081361,263456,IC50,0.1
2321,23644878,263456,IC50,0.56
2321,23644889,263456,IC50,1.07
2321,23644880,263456,IC50,0.81
2321,23644881,263456,IC50,0.93
2321,23644893,263456,IC50,0.27
2321,23644894,263456,IC50,0.18
2321,23644859,263456,IC50,0.76
2321,23644870,263456,IC50,0.44
2321,15949471,263456,IC50,0.62
2321,151194,263456,IC50,0.14
2321,23644860,263456,IC50,1.22
2321,23644883,263456,IC50,0.53
2321,23644884,263456,IC50,0.47
2321,44431897,299177,IC50,0.38
2321,44431902,299177,IC50,0.59
2321,44431904,299177,IC50,2.25
2321,44431911,299177,IC50,0.98
2321,44431913,299177,IC50,1.23
2321,44431920,299177,IC50,0.94
2321,44431922,299177,IC50,4.27
2321,44431927,299177,IC50,4.56
2321,44431935,299177,IC50,0.89
2321,44431939,299177,IC50,3.88
2321,44431890,299177,IC50,0.097
2321,44431907,299177,IC50,0.38
2321,44431910,299177,IC50,2.33
