geneid,cid,aid,acname,acvalue
3791,45258878,640955,IC50,0.11252
3791,44247727,1276910,IC50,0.03
3791,122377977,1263994,IC50,0.0016
3791,12341776,1330727,IC50,0.0045
3791,6408948,1330727,IC50,0.0073
3791,9811611,1344796,IC50,0.01055
3791,5329457,216771,IC50,0.037
3791,5329447,216771,IC50,0.009
3791,5329470,216771,IC50,0.013
3791,5329448,216771,IC50,0.014
3791,5329449,216771,IC50,0.01
3791,5329453,216771,IC50,0.011
3791,5329469,216771,IC50,0.014
3791,5329452,216771,IC50,0.02
3791,5329451,216771,IC50,0.019
3791,5329468,216771,IC50,0.019
3791,5329454,216771,IC50,0.224
3791,5329446,216771,IC50,0.004
3791,5329471,216771,IC50,0.007
3791,5329450,216771,IC50,0.003
3791,5329338,216768,IC50,0.113
3791,5329410,216768,IC50,0.27
3791,5329405,216768,IC50,0.023
3791,5329337,216768,IC50,0.071
3791,5329413,216768,IC50,0.037
3791,5329408,216768,IC50,0.037
3791,5329406,216768,IC50,0.052
3791,5329411,216768,IC50,0.096
3791,5329409,216768,IC50,0.088
3791,5329412,216768,IC50,0.014
3791,5329407,216768,IC50,0.025
3791,447077,624860,Kd,0.69
3791,3008961,636124,IC50,0.25
3791,3008962,636124,IC50,45.4
3791,53325090,581380,IC50,0.3
3791,53326441,581380,IC50,3.1
3791,53319840,581380,IC50,1.1
3791,11668206,581380,IC50,1.89
3791,53325139,581380,IC50,5.1
3791,53319841,581380,IC50,0.16
3791,44408215,581380,IC50,0.17
3791,44408191,581380,IC50,2.6
3791,53322526,581380,IC50,0.15
3791,5147157,581380,IC50,0.21
3791,53318958,581380,IC50,1.4
3791,53322464,581380,IC50,3.16
3791,53317217,581380,IC50,3.41
3791,53325140,581380,IC50,4.6
3791,53325089,581380,IC50,2.3
3791,53318518,581380,IC50,4.5
3791,53318517,581380,IC50,2.5
3791,5147155,581380,IC50,0.83
3791,53317732,581380,IC50,3.2
3791,9869779,624860,Kd,0.018
3791,24180719,624860,Kd,2.1
3791,3008950,636124,IC50,29.8
3791,134152965,1258373,IC50,0.03949
3791,5329023,216644,IC50,0.008
3791,1474850,216644,IC50,2.9
3791,5329033,216644,IC50,0.04
3791,5329021,216644,IC50,0.04
3791,5329019,216644,IC50,0.04
3791,5687,216644,IC50,0.05
3791,1475052,216644,IC50,0.8
3791,5329017,216644,IC50,0.01
3791,5329012,216644,IC50,0.005
3791,5329006,216644,IC50,0.1
3791,6326407,216644,IC50,0.004
3791,5329028,216644,IC50,0.01
3791,5329032,216644,IC50,0.03
3791,5329034,216644,IC50,0.3
3791,5329015,216644,IC50,0.15
3791,5329022,216644,IC50,0.06
3791,5329025,216644,IC50,0.04
3791,5329031,216644,IC50,0.3
3791,5329010,216644,IC50,0.003
3791,6326408,216644,IC50,1.1
3791,5329005,216644,IC50,2.7
3791,5329016,216644,IC50,0.002
3791,5329027,216644,IC50,0.1
3791,5329020,216644,IC50,0.009
3791,5329030,216644,IC50,1.5
3791,5329011,216644,IC50,0.007
3791,5329026,216644,IC50,0.006
3791,5329009,216644,IC50,0.8
3791,5329018,216644,IC50,0.04
3791,5329014,216644,IC50,0.06
3791,5329013,216644,IC50,0.002
3791,5329024,216644,IC50,0.06
3791,9890746,216646,IC50,17.3
3791,3081361,216648,IC50,0.04
3791,5329098,216648,IC50,1.3
3791,5329098,216649,IC50,0.22
3791,44368815,216649,IC50,0.009
3791,3081361,216649,IC50,0.017
3791,151193,216649,IC50,0.042
3791,6398883,216649,IC50,0.023
3791,5329050,216653,IC50,0.04
3791,5329045,216653,IC50,0.025
3791,5329020,216653,IC50,0.009
3791,5329030,216653,IC50,1.5
3791,5329011,216653,IC50,0.007
