geneid,cid,aid,acname,acvalue
1956,811665,634930,IC50,12.32
1956,889945,634930,IC50,5.72
1956,2983225,634930,IC50,38.43
1956,3724145,634930,IC50,5.11
1956,967629,634930,IC50,26.06
1956,2843335,634930,IC50,16.63
1956,74766095,1289546,IC50,0.007
1956,447077,624997,Kd,0.18
1956,3038525,624999,Kd,10
1956,3038525,624996,Kd,10
1956,3038525,625006,Kd,10
1956,3038525,625005,Kd,10
1956,447077,625007,Kd,10
1956,3038525,625001,Kd,10
1956,3038525,625002,Kd,10
1956,447077,625002,Kd,1.1
1956,447077,625003,Kd,0.86
1956,3038525,625004,Kd,10
1956,3008962,636123,IC50,0.24
1956,135722691,642761,IC50,30.7
1956,3038525,624997,Kd,10
1956,447077,624999,Kd,0.63
1956,447077,625006,Kd,2.3
1956,447077,624996,Kd,1
1956,447077,624998,Kd,0.53
1956,3038525,624998,Kd,10
1956,447077,625000,Kd,1.5
1956,3038525,625000,Kd,10
1956,447077,625005,Kd,1.2
1956,3038525,625007,Kd,10
1956,447077,625001,Kd,1.7
1956,3038525,625003,Kd,10
1956,447077,625004,Kd,10
1956,3008961,636123,IC50,9.19
1956,16004616,642760,IC50,90.4
1956,135722691,642760,IC50,100
1956,16004616,642761,IC50,100
1956,3025986,624997,Kd,10
1956,9869779,624997,Kd,10
1956,24180719,624999,Kd,10
1956,9869779,624999,Kd,2
1956,3025986,624996,Kd,10
1956,9869779,624996,Kd,10
1956,6918454,625006,Kd,10
1956,6918454,624998,Kd,10
1956,24180719,624998,Kd,10
1956,3025986,625000,Kd,10
1956,24180719,625000,Kd,10
1956,6918454,625005,Kd,10
1956,6918454,625007,Kd,10
1956,24180719,625007,Kd,10
1956,24180719,625001,Kd,10
1956,9869779,625001,Kd,10
1956,24180719,625002,Kd,10
1956,3025986,625002,Kd,10
1956,3025986,625003,Kd,10
1956,6918454,625003,Kd,10
1956,9869779,625004,Kd,10
1956,3008950,636123,IC50,200
1956,2744121,642760,IC50,100
1956,54678831,642760,IC50,100
1956,1035343,642760,IC50,100
1956,694087,642760,IC50,100
1956,2744121,642761,IC50,13
1956,54708982,642761,IC50,65.1
1956,1035343,642761,IC50,1.5
1956,6918454,624997,Kd,10
1956,24180719,624997,Kd,10
1956,6918454,624999,Kd,10
1956,3025986,624999,Kd,10
1956,6918454,624996,Kd,10
1956,3025986,625006,Kd,10
1956,24180719,624996,Kd,10
1956,24180719,625006,Kd,10
1956,9869779,625006,Kd,10
1956,3025986,624998,Kd,10
1956,9869779,624998,Kd,2.6
1956,9869779,625000,Kd,10
1956,6918454,625000,Kd,10
1956,9869779,625005,Kd,3.4
1956,3025986,625005,Kd,10
1956,24180719,625005,Kd,10
1956,3025986,625007,Kd,10
1956,9869779,625007,Kd,10
1956,3025986,625001,Kd,10
1956,6918454,625001,Kd,10
1956,6918454,625002,Kd,10
1956,9869779,625002,Kd,10
1956,9869779,625003,Kd,10
1956,24180719,625003,Kd,10
1956,24180719,625004,Kd,10
1956,3025986,625004,Kd,10
1956,6918454,625004,Kd,10
1956,6244542,642760,IC50,100
1956,54708982,642760,IC50,76.4
1956,54678831,642761,IC50,56.8
1956,6244542,642761,IC50,31
1956,694087,642761,IC50,20.9
1956,91933875,1298487,IC50,1
1956,447700,435137,IC50,0.082
1956,5311104,435137,IC50,0.39
1956,5330524,435137,IC50,0.38
1956,3038525,435156,Kd,10
1956,3038525,435157,Kd,10
1956,3038525,435402,Kd,10
1956,3038525,435525,Kd,10
1956,3038525,435653,Kd,10
1956,3038525,435652,Kd,10
1956,3038525,435791,Kd,10
1956,3038525,435792,Kd,10
1956,3038525,435906,Kd,10
1956,3038525,435907,Kd,10
1956,4521392,435156,Kd,10
1956,3025986,435156,Kd,10
1956,5330790,435156,Kd,10
1956,4521392,435157,Kd,10
1956,3025986,435157,Kd,10
1956,5330790,435157,Kd,10
1956,5330790,435402,Kd,10
1956,3025986,435402,Kd,10
1956,4521392,435402,Kd,10
1956,4521392,435525,Kd,10
1956,3025986,435525,Kd,10
1956,5330790,435525,Kd,10
1956,4521392,435653,Kd,10
1956,3025986,435653,Kd,10
1956,5330790,435653,Kd,10
1956,4521392,435652,Kd,10
1956,3025986,435652,Kd,10
1956,5330790,435652,Kd,10
1956,4521392,435791,Kd,10
1956,3025986,435791,Kd,10
1956,5330790,435791,Kd,10
1956,4521392,435792,Kd,10
1956,3025986,435792,Kd,10
1956,5330790,435792,Kd,10
1956,4521392,435906,Kd,10
1956,3025986,435906,Kd,10
1956,5330790,435906,Kd,10
1956,4521392,435907,Kd,10
1956,3025986,435907,Kd,10
1956,5330790,435907,Kd,10
1956,23401001,447768,IC50,7
1956,11723489,447768,IC50,7
1956,10246246,447768,IC50,7
1956,23400934,447768,IC50,7
1956,5328285,603958,IC50,0.02188
1956,5328294,603958,IC50,0.00955
1956,5328289,603958,IC50,0.01585
1956,5328297,603958,IC50,0.58884
1956,5328852,603958,IC50,13.8038
1956,5328861,603958,IC50,1.47911
1956,10223065,603958,IC50,1.62181
1956,9803006,603958,IC50,0.91201
1956,11733863,603958,IC50,0.12882
1956,4705,603958,IC50,0.07079
1956,5328284,603958,IC50,1.20226
1956,5328293,603958,IC50,0.009772
1956,5328882,603958,IC50,1.09648
1956,5328849,603958,IC50,0.85114
1956,5328867,603958,IC50,4.16869
1956,5328844,603958,IC50,0.74131
1956,5328838,603958,IC50,0.41687
1956,10098235,603958,IC50,3.80189
1956,10906920,603958,IC50,0.08913
1956,10918242,603958,IC50,10.4713
1956,11005320,603958,IC50,0.93325
1956,5328878,603958,IC50,33.8844
1956,5328839,603958,IC50,0.97724
1956,5328869,603958,IC50,0.83176
1956,5328873,603958,IC50,33.1131
1956,10972694,603958,IC50,0.56234
1956,10951285,603958,IC50,2.63027
1956,9954075,603958,IC50,0.64565
1956,11102890,603958,IC50,2.88403
1956,5328295,603958,IC50,0.08128
1956,5328283,603958,IC50,0.19055
1956,5328281,603958,IC50,0.31623
1956,5328291,603958,IC50,1.77828
1956,5328280,603958,IC50,0.01288
1956,5328857,603958,IC50,9.12011
1956,5328847,603958,IC50,7.4131
1956,5328883,603958,IC50,6.76083
1956,5328841,603958,IC50,0.18197
1956,5328868,603958,IC50,0.15849
1956,10295839,603958,IC50,0.81283
1956,9984664,603958,IC50,10.2329
1956,9934935,603958,IC50,1.90546
1956,21697320,603958,IC50,0.15136
1956,56659589,603958,IC50,0.25119
1956,9887521,603958,IC50,0.93325
1956,5328288,603958,IC50,0.22909
1956,5328242,603958,IC50,0.01995
1956,5328856,603958,IC50,1.77828
1956,5328853,603958,IC50,6.30957
1956,5328845,603958,IC50,14.1254
1956,5328885,603958,IC50,70.7946
1956,176155,624997,Kd,0.34
1956,10427712,624997,Kd,4.1
1956,11617559,624997,Kd,10
1956,11338033,624997,Kd,10
1956,11314340,624997,Kd,10
1956,135565635,624999,Kd,3
1956,10427712,624999,Kd,8.6
1956,11617559,624999,Kd,10
1956,11338033,624999,Kd,10
1956,9929127,624999,Kd,10
1956,176155,624996,Kd,1.7
1956,10427712,624996,Kd,5.1
1956,11314340,624996,Kd,10
1956,11314340,625006,Kd,10
1956,176155,625006,Kd,2
1956,10427712,625006,Kd,0.8
1956,11617559,625006,Kd,10
1956,11314340,624998,Kd,10
1956,135565635,624998,Kd,3.9
1956,176155,624998,Kd,0.71
1956,10427712,624998,Kd,1.4
1956,11617559,624998,Kd,10
1956,11338033,624998,Kd,10
1956,9929127,624998,Kd,10
1956,11314340,625000,Kd,10
1956,9929127,625000,Kd,10
1956,135565635,625000,Kd,0.97
1956,135565635,625005,Kd,1.4
1956,11314340,625005,Kd,10
1956,176155,625005,Kd,3.2
1956,11617559,625005,Kd,10
1956,11338033,625005,Kd,10
1956,11338033,625007,Kd,10
1956,9929127,625007,Kd,10
1956,9929127,625001,Kd,10
1956,135565635,625001,Kd,2.4
1956,135565635,625002,Kd,0.77
1956,176155,625002,Kd,1.5
1956,9929127,625002,Kd,10
1956,10427712,625003,Kd,1.4
1956,11338033,625003,Kd,10
1956,11314340,625003,Kd,10
1956,10427712,625004,Kd,2.2
1956,11617559,625004,Kd,10
1956,11338033,625004,Kd,10
1956,176155,625004,Kd,1.3
1956,10297043,629471,IC50,0.002
1956,123631,634930,IC50,0.02
1956,57390199,636384,IC50,0.129
1956,57390200,636384,IC50,10
1956,56950114,636384,IC50,0.061
1956,57391988,636384,IC50,0.627
1956,57395424,636384,IC50,10
1956,57397269,636384,IC50,0.37
1956,57397677,636384,IC50,10
1956,57399346,636384,IC50,0.523
1956,57390198,636384,IC50,0.108
1956,57402866,636384,IC50,0.721
1956,123631,638084,IC50,0.001
1956,2811342,642760,IC50,100
