geneid,cid,aid,acname,acvalue
2261,447077,624782,Kd,0.048
2261,3038525,624782,Kd,10
2261,3038525,624783,Kd,10
2261,447077,624783,Kd,0.046
2261,3025986,624782,Kd,10
2261,24180719,624782,Kd,10
2261,24180719,624783,Kd,10
2261,9869779,624783,Kd,10
2261,9869779,624782,Kd,10
2261,6918454,624782,Kd,10
2261,6918454,624783,Kd,10
2261,3025986,624783,Kd,10
2261,5330259,1340379,IC50,5
2261,5330274,1340379,IC50,5
2261,5330273,1340379,IC50,5
2261,70895719,1258350,IC50,8.998
2261,134152965,1258350,IC50,0.01559
2261,5330260,1340379,IC50,4.47
2261,5330281,1340379,IC50,5
2261,5330283,1340379,IC50,0.515
2261,5330261,1340379,IC50,5
2261,5330262,1340379,IC50,1.52
2261,5330263,1340379,IC50,1.38
2261,5330271,1340379,IC50,5
2261,5330282,1340379,IC50,5
2261,5330284,1340379,IC50,5
2261,5330285,1340379,IC50,5
2261,5330294,1340379,IC50,5
2261,5330303,1340379,IC50,5
2261,3038525,435291,Kd,10
2261,3038525,435527,Kd,10
2261,4521392,435291,Kd,10
2261,3025986,435291,Kd,10
2261,5330790,435291,Kd,0.51
2261,4521392,435527,Kd,10
2261,3025986,435527,Kd,10
2261,5330790,435527,Kd,0.69
2261,23400934,448382,IC50,7
2261,23401001,448382,IC50,7
2261,11723489,448382,IC50,7
2261,10246246,448382,IC50,7
2261,11617559,624782,Kd,10
2261,11338033,624782,Kd,10
2261,11314340,624782,Kd,10
2261,176155,624783,Kd,10
2261,9929127,624783,Kd,10
2261,11314340,624783,Kd,10
2261,5330278,1340379,IC50,1.74
2261,5330231,1340379,IC50,2.98
2261,5330329,1340379,IC50,1.078
2261,5330333,1340379,IC50,0.081
2261,135565635,624782,Kd,0.66
2261,176155,624782,Kd,10
2261,10427712,624782,Kd,10
2261,9929127,624782,Kd,10
2261,10427712,624783,Kd,10
2261,11617559,624783,Kd,10
2261,11338033,624783,Kd,10
2261,135565635,624783,Kd,0.77
2261,176155,435291,Kd,10
2261,11617559,435291,Kd,10
2261,5169,435291,Kd,10
2261,5169,435527,Kd,10
2261,176155,435527,Kd,10
2261,11617559,435527,Kd,10
2261,45482750,440619,IC50,10
2261,45482700,440619,IC50,10
2261,59292905,1258178,IC50,0.01
2261,59292907,1258178,IC50,10
2261,59292950,1258178,IC50,0.02
2261,59292962,1258178,IC50,0.016
2261,59292822,1258178,IC50,1.05
2261,59292881,1258178,IC50,0.139
2261,59292865,1258178,IC50,0.009
2261,59292880,1258178,IC50,0.945
2261,59292895,1258178,IC50,10
2261,59292904,1258178,IC50,0.099
2261,59292924,1258178,IC50,0.032
2261,59292964,1258178,IC50,0.007
2261,44512873,1258178,IC50,0.875
2261,44513529,1258178,IC50,10
2261,44513866,1258178,IC50,0.011
2261,44514177,1258178,IC50,0.016
2261,44514180,1258178,IC50,0.53
2261,44513532,1258178,IC50,0.074
2261,44513537,1258178,IC50,0.01
2261,44514185,1258178,IC50,0.07
2261,44513530,1258178,IC50,1.3
2261,44513858,1258178,IC50,0.031
2261,44513861,1258178,IC50,10
2261,44514178,1258178,IC50,0.01
2261,44514181,1258178,IC50,0.009
2261,44514458,1258178,IC50,0.041
2261,44514746,1258178,IC50,0.022
2261,44514749,1258178,IC50,0.054
2261,44515056,1258178,IC50,0.27
2261,44514463,1258178,IC50,0.245
2261,44514467,1258178,IC50,0.53
2261,44515979,1258178,IC50,8.1
2261,44516284,1258178,IC50,10
2261,44516930,1258178,IC50,0.605
2261,44515352,1258178,IC50,0.087
2261,44515976,1258178,IC50,0.7
2261,59292820,1258178,IC50,0.051
2261,59292854,1258178,IC50,0.012
2261,59292855,1258178,IC50,0.014
2261,59292910,1258178,IC50,0.265
2261,59292921,1258178,IC50,0.058
2261,44473177,1258178,IC50,0.007
2261,59292849,1258178,IC50,1.2
2261,59292869,1258178,IC50,0.044
2261,59292870,1258178,IC50,0.011
2261,59292897,1258178,IC50,0.011
2261,59292919,1258178,IC50,0.042
2261,59292928,1258178,IC50,0.016
2261,44517255,1258178,IC50,0.21
2261,44517258,1258178,IC50,0.485
2261,44517256,1258178,IC50,2.55
2261,71611869,1343508,IC50,0.0294
2261,71612007,1343508,IC50,0.0639
2261,71612011,1343508,IC50,0.0261
2261,71612127,1343508,IC50,0.0049
2261,71612249,1343508,IC50,0.0072
2261,71612125,1343508,IC50,0.01
2261,71612126,1343508,IC50,0.0027
2261,71612250,1343508,IC50,0.0523
2261,71612252,1343508,IC50,0.0025
2261,71611873,1343508,IC50,0.0285
2261,71612009,1343508,IC50,0.0083
2261,71612128,1343508,IC50,0.0133
2261,71580718,1343508,IC50,0.0002
2261,89639184,1343508,IC50,0.0072
2261,89639185,1343508,IC50,0.0184
2261,89639186,1343508,IC50,0.0324
2261,89639188,1343508,IC50,0.0009
2261,89639200,1343508,IC50,0.0398
2261,89641686,1343508,IC50,0.0034
2261,89620183,1343508,IC50,0.0068
2261,89620387,1343508,IC50,0.0014
2261,89620426,1343508,IC50,0.0165
2261,89620464,1343508,IC50,0.0014
2261,89622283,1343508,IC50,0.0198
2261,89622285,1343508,IC50,0.014
2261,89622320,1343508,IC50,0.0029
2261,89622324,1343508,IC50,0.0047
2261,89622452,1343508,IC50,0.0094
2261,89622459,1343508,IC50,0.0779
2261,89622501,1343508,IC50,0.0039
2261,89622558,1343508,IC50,0.0098
2261,89622784,1343508,IC50,0.0068
2261,89639183,1343508,IC50,0.0079
2261,89639187,1343508,IC50,0.0097
2261,89639196,1343508,IC50,0.0265
2261,89639204,1343508,IC50,0.0077
2261,89639217,1343508,IC50,0.0246
2261,89641685,1343508,IC50,0.0081
2261,89641688,1343508,IC50,0.0188
2261,89641690,1343508,IC50,0.0454
2261,89620466,1343508,IC50,0.001
2261,89620522,1343508,IC50,0.0031
2261,89620531,1343508,IC50,0.0094
2261,89620545,1343508,IC50,0.0126
2261,89620731,1343508,IC50,0.016
2261,89620744,1343508,IC50,0.0248
2261,89622288,1343508,IC50,0.0007
2261,89622474,1343508,IC50,0.0122
2261,86687879,1343508,IC50,0.026
2261,89639178,1343508,IC50,0.0025
2261,89639181,1343508,IC50,0.0064
2261,89639191,1343508,IC50,0.0311
2261,89639197,1343508,IC50,0.0369
2261,89639211,1343508,IC50,0.0096
2261,89639215,1343508,IC50,0.0045
2261,89641675,1343508,IC50,0.0098
2261,89641676,1343508,IC50,0.0049
2261,89641693,1343508,IC50,0.0071
2261,89622783,1343508,IC50,0.0057
2261,89620430,1343508,IC50,0.002
2261,89620526,1343508,IC50,0.011
2261,89622256,1343508,IC50,0.0068
2261,89622257,1343508,IC50,0.013
2261,89622258,1343508,IC50,0.0037
2261,89622284,1343508,IC50,0.0179
2261,89622424,1343508,IC50,0.0054
2261,89622472,1343508,IC50,0.0087
2261,89622562,1343508,IC50,0.0025
2261,89622618,1343508,IC50,0.0581
2261,89620461,1343508,IC50,0.0105
2261,89622230,1343508,IC50,0.0281
2261,89622234,1343508,IC50,0.0427
2261,89622242,1343508,IC50,0.0018
2261,89622393,1343508,IC50,0.0174
2261,89622428,1343508,IC50,0.0033
2261,89622453,1343508,IC50,0.007
2261,89622471,1343508,IC50,0.0021
2261,89622492,1343508,IC50,0.0419
2261,89622608,1343508,IC50,0.0654
2261,89622779,1343508,IC50,0.0097
2261,89622845,1343508,IC50,0.0052
2261,89639182,1343508,IC50,0.0346
2261,89639189,1343508,IC50,0.011
2261,89639193,1343508,IC50,0.0287
2261,89639213,1343508,IC50,0.0053
2261,89641677,1343508,IC50,0.0061
2261,134150372,1343508,IC50,0.002
2261,9811611,1344805,IC50,0.0339
