geneid,cid,aid,acname,acvalue
5156,3038525,625034,Kd,8.8
5156,447077,625034,Kd,0.0056
5156,9869779,625034,Kd,0.00049
5156,24180719,625034,Kd,0.19
5156,45487992,443945,IC50,0.083
5156,3025986,625034,Kd,10
5156,6918454,625034,Kd,10
5156,122163152,1299381,IC50,100
5156,447077,435505,IC50,1.66
5156,447700,435505,IC50,0.139
5156,5328733,435505,IC50,0.636
5156,5330525,435505,IC50,2.34
5156,5311104,435505,IC50,1.43
5156,5330524,435505,IC50,1.25
5156,3038525,435827,Kd,10
5156,5327897,443945,IC50,0.076
5156,447700,443945,IC50,0.045
5156,5327893,443945,IC50,0.5
5156,10454329,443945,IC50,0.024
5156,5330524,443945,IC50,0.047
5156,10029735,443945,IC50,0.203
5156,5327898,443945,IC50,0.082
5156,10070245,443945,IC50,0.03
5156,10071040,443945,IC50,0.244
5156,4521392,435827,Kd,10
5156,3025986,435827,Kd,10
5156,5330790,435827,Kd,4
5156,23401001,448389,IC50,7
5156,11723489,448389,IC50,0.3
5156,10246246,448389,IC50,7
5156,23400934,448389,IC50,7
5156,135565635,625034,Kd,0.22
5156,176155,625034,Kd,10
5156,9929127,625034,Kd,10
5156,135567142,1287940,IC50,0.009
5156,11314340,625034,Kd,10
5156,10427712,625034,Kd,10
5156,11617559,625034,Kd,10
5156,11338033,625034,Kd,10
5156,10401378,155175,IC50,2
5156,10336427,155180,IC50,10
5156,10106010,155181,IC50,4
5156,10243546,155182,IC50,8
5156,10265642,155178,IC50,2
5156,10447210,155178,IC50,2
5156,10402592,157492,IC50,0.2
5156,10242258,157499,IC50,0.25
5156,10083695,157501,IC50,0.6
5156,10042684,157493,IC50,0.2
5156,10243001,157493,IC50,0.2
5156,10314618,157500,IC50,0.4
5156,10245626,157502,IC50,0.8
5156,11617559,435827,Kd,10
5156,176155,435827,Kd,10
5156,5169,435827,Kd,10
5156,45482700,440620,IC50,10
5156,45482750,440620,IC50,10
5156,135514617,684155,IC50,0.017
5156,135488027,684155,IC50,0.007
5156,136118625,684155,IC50,0.844
5156,136118626,684155,IC50,0.614
5156,136118641,684155,IC50,1.95
5156,67161103,684155,IC50,0.02
5156,67161540,684155,IC50,0.003
5156,67161862,684155,IC50,0.005
5156,67163677,684155,IC50,0.002
5156,135430397,684155,IC50,0.006
5156,67162590,684155,IC50,0.003
5156,67163022,684155,IC50,0.006
5156,135507297,684155,IC50,0.005
5156,135546221,684155,IC50,0.431
5156,135405015,684155,IC50,0.003
5156,135546228,684155,IC50,0.006
5156,136118622,684155,IC50,0.013
5156,136118623,684155,IC50,0.055
5156,135488014,684155,IC50,0.007
5156,135543821,684155,IC50,0.01
5156,49838871,1258060,Kd,0.0077
5156,3685259,1311028,IC50,5
5156,42642645,1318748,IC50,0.0036
5156,42642645,1330830,IC50,0.0036
5156,9811611,1344812,IC50,3.12
