geneid,cid,aid,acname,acvalue
2324,3038525,624854,Kd,10
2324,447077,624854,Kd,0.74
2324,3025986,624854,Kd,10
2324,9869779,624854,Kd,0.39
2324,6918454,624854,Kd,10
2324,24180719,624854,Kd,10
2324,3038525,436018,Kd,10
2324,4521392,436018,Kd,10
2324,3025986,436018,Kd,10
2324,5330790,436018,Kd,1.1
2324,11314340,624854,Kd,10
2324,135565635,624854,Kd,0.24
2324,176155,624854,Kd,10
2324,10427712,624854,Kd,10
2324,11617559,624854,Kd,10
2324,11338033,624854,Kd,10
2324,9929127,624854,Kd,10
2324,5169,436018,Kd,10
2324,176155,436018,Kd,10
2324,11617559,436018,Kd,10
2324,49838871,1258062,Kd,0.031
2324,9811611,1344809,IC50,0.0542
2324,5329468,67835,IC50,0.387
2324,5329454,67835,IC50,0.622
2324,5329446,67835,IC50,0.022
2324,5329471,67835,IC50,0.02
2324,5329450,67835,IC50,0.018
2324,5329453,67835,IC50,0.031
2324,5329469,67835,IC50,0.07
2324,5329452,67835,IC50,0.029
2324,5329449,67835,IC50,0.023
2324,5329457,67835,IC50,0.15
2324,5329447,67835,IC50,0.032
2324,5329470,67835,IC50,0.08
