geneid,cid,druggroup,drugaction
1956,3676,approved; vet_approved,antagonist
1956,123631,approved; investigational,antagonist
1956,176870,approved; investigational,antagonist
1956,208908,approved; investigational,antagonist
1956,5287969,experimental; investigational,NULL
1956,3081361,approved,inhibitor
1956,156414,investigational,NULL
1956,42642648,investigational,NULL
1956,46937083,experimental,NULL
1956,4708,experimental,NULL
1956,10184653,approved,inhibitor
1956,71496458,approved,inhibitor
1956,71300933,investigational,antibody
1956,22024915,experimental; investigational,antagonist
1956,9915743,approved; investigational,inhibitor
1956,11511120,approved; investigational,inhibitor
1956,11671467,approved; investigational,inhibitor
1956,68165256,approved; investigational,inhibitor
1956,54758501,investigational,inhibitor
