geneid,cid,druggroup,drugaction
2321,216239,approved; investigational,inhibitor
2321,5329102,approved; investigational,inhibitor
2321,151194,investigational,NULL
2321,11973736,investigational,NULL
2321,9868037,investigational,NULL
2321,10113978,approved,inhibitor
2321,6450551,approved; investigational,inhibitor
2321,9797919,experimental,NULL
2321,11167602,approved,inhibitor
2321,9823820,approved; investigational,inhibitor
2321,9809715,approved,inhibitor
2321,6918055,experimental,agonist
2321,11671467,approved; investigational,inhibitor
