cid,aid,activity,acname,acvalue,geneid
11719421,1342659,Active,IC50,0.049,2050
11719421,1342657,Active,IC50,0.0012,7525
11719421,1342656,Active,IC50,0.0068,6714
11719421,1342658,Active,IC50,0.0059,5159
46831579,1257914,Active,IC50,0.0096,5159
46831579,1257912,Active,IC50,0.0022,25
46831579,1257913,Active,IC50,0.0085,3815
42642645,624732,Active,Kd,0.014,2185
42642645,624777,Active,Kd,0.0036,4921
42642645,624925,Active,Kd,0.021,8767
42642645,624993,Active,Kd,0.027,27
42642645,625032,Active,Kd,0.0041,4915
42642645,624803,Active,Kd,0.057,11200
42642645,625108,Active,Kd,0.0037,2872
42642645,625134,Active,Kd,0.028,79837
42642645,625137,Active,Kd,0.013,5605
42642645,768495,Active,IC50,0.004,3815
42642645,1235501,Active,IC50,0.00486,3791
42642645,1235512,Active,INH,0.0008,3791
42642645,1276898,Active,IC50,0.0004,4233
42642645,1276900,Active,IC50,0.003,4486
42642645,1276899,Active,IC50,0.0009,3791
42642645,1304955,Active,IC50,0.0009,3791
42642645,1304954,Active,IC50,0.0004,4233
42642645,1318745,Active,IC50,0.0036,2322
42642645,1318743,Active,IC50,0.003,4486
42642645,1318748,Active,IC50,0.0036,5156
42642645,1318750,Active,IC50,0.0011,7010
42642645,1318742,Active,IC50,0.0004,4233
42642645,1318749,Active,IC50,0.0096,5159
42642645,1318774,Active,IC50,0.00086,3791
42642645,1330827,Active,IC50,0.003,4486
42642645,1330829,Active,IC50,0.0036,2322
42642645,1330825,Active,IC50,0.0004,4233
42642645,1330830,Active,IC50,0.0036,5156
42642645,1330826,Active,IC50,0.00086,3791
42642645,1330831,Active,IC50,0.0096,5159
42642645,624732,Active,Kd,0.014,2185
42642645,624777,Active,Kd,0.0036,4921
42642645,624925,Active,Kd,0.021,8767
42642645,624993,Active,Kd,0.027,27
42642645,625032,Active,Kd,0.0041,4915
42642645,624803,Active,Kd,0.057,11200
42642645,625108,Active,Kd,0.0037,2872
42642645,625134,Active,Kd,0.028,79837
42642645,625137,Active,Kd,0.013,5605
42642645,768495,Active,IC50,0.004,3815
42642645,1235501,Active,IC50,0.00486,3791
42642645,1235512,Active,INH,0.0008,3791
42642645,1276898,Active,IC50,0.0004,4233
42642645,1276900,Active,IC50,0.003,4486
42642645,1276899,Active,IC50,0.0009,3791
42642645,1304955,Active,IC50,0.0009,3791
42642645,1304954,Active,IC50,0.0004,4233
42642645,1318745,Active,IC50,0.0036,2322
42642645,1318743,Active,IC50,0.003,4486
42642645,1318748,Active,IC50,0.0036,5156
42642645,1318750,Active,IC50,0.0011,7010
42642645,1318742,Active,IC50,0.0004,4233
42642645,1318749,Active,IC50,0.0096,5159
42642645,1318774,Active,IC50,0.00086,3791
42642645,1330827,Active,IC50,0.003,4486
42642645,1330829,Active,IC50,0.0036,2322
42642645,1330825,Active,IC50,0.0004,4233
42642645,1330830,Active,IC50,0.0036,5156
42642645,1330826,Active,IC50,0.00086,3791
42642645,1330831,Active,IC50,0.0096,5159
44444041,1342656,Active,IC50,0.0036,6714
44444041,1342658,Active,IC50,0.0012,5159
11569758,1342656,Active,IC50,0.0052,6714
11569758,1342658,Active,IC50,0.0028,5159
118699724,1343779,Active,IC50,0.007,5159
118699724,1343778,Active,IC50,0.012,3791
118699724,1343777,Active,IC50,0.005,3791
118130111,1343855,Active,IC50,0.007,3791
118130111,1343857,Active,IC50,0.007,5159
118130052,1343855,Active,IC50,0.002,3791
118130052,1343857,Active,IC50,0.006,5159
118130067,1343855,Active,IC50,0.003,3791
118130067,1343857,Active,IC50,0.006,5159
118130056,1343855,Active,IC50,0.004,3791
118130056,1343857,Active,IC50,0.009,5159
118130077,1343855,Active,IC50,0.003,3791
118130077,1343857,Active,IC50,0.008,5159
